"site","year","sample_id","real_nest","field_nest_id","species","lat","long"
"Joule","2021",1,"no","120","greg",26.0120182246105,-80.6308888129052
"Joule","2021",2,"no","648","wost",26.0116301765902,-80.6304450005919
"Joule","2021",3,"yes","102","greg",26.0121057,-80.631309
"Joule","2021",4,"no","13","whib",26.0097810793762,-80.6320346223816
"Joule","2021",5,"no","70","greg",26.0118915077716,-80.6310964148506
"Joule","2021",6,"yes","159","greg",26.0123126,-80.6307449
"Joule","2021",7,"no","563","greg",26.0133728185284,-80.6308161743675
"Joule","2021",8,"no","2000","greg",26.0120592325775,-80.6308767821827
"Joule","2021",9,"yes","104","greg",26.0120936,-80.6313753
"Joule","2021",10,"yes","108","greg",26.0117449,-80.6311519
"Joule","2021",11,"no","494","greg",26.0117032226306,-80.631272060016
"Joule","2021",12,"yes","77","greg",26.0116426,-80.6309507
"Joule","2021",13,"yes","71","greg",26.0120491,-80.6305118
"Joule","2021",14,"yes","","greg",26.0119225,-80.6314688
"Joule","2021",15,"no","1088","greg",26.0117445805736,-80.6314778706733
"Joule","2021",16,"no","1771","greg",26.012881172326,-80.631154137887
"Joule","2021",17,"no","566","greg",26.0123295978134,-80.6308390060353
"Joule","2021",18,"yes","237","greg",26.0116147,-80.6307125
"Joule","2021",19,"yes","96","greg",26.0123706,-80.6307527
"Joule","2021",20,"yes","120","greg",26.0117665,-80.6305733
"Joule","2021",21,"yes","100","greg",26.01211,-80.6312433
"Joule","2021",22,"no","707","whib",26.0139985814994,-80.6309958981133
"Joule","2021",23,"no","2007","greg",26.0115743179031,-80.6308958994934
"Joule","2021",24,"no","1107","greg",26.0118381030806,-80.6312082331079
"Joule","2021",25,"yes","223","greg",26.0120943,-80.6312566
"Joule","2021",26,"no","576","greg",26.0116219617189,-80.630956139324
"Joule","2021",27,"yes","","greg",26.0118389,-80.6312183
"Joule","2021",28,"yes","","greg",26.0118552,-80.6314176
"Joule","2021",29,"no","2048","greg",26.0117450242065,-80.6306073317076
"Joule","2021",30,"no","2219","greg",26.0118013484593,-80.6307852303924
"Joule","2021",31,"no","1863","whib",26.0135922915718,-80.6304330977693
"Joule","2021",32,"no","2305","greg",26.0117210539378,-80.6315025519341
"Joule","2021",33,"yes","161","greg",26.0118004,-80.6312035
"Joule","2021",34,"yes","219","greg",26.0122733,-80.631082
"Joule","2021",35,"yes","","greg",26.0117358,-80.6310859
"Joule","2021",36,"yes","152","greg",26.0116869,-80.6306046
"Jerrod","2021",1,"yes","186","greg",26.0034135,-80.5966876
"Jerrod","2021",2,"yes","175","greg",26.0036284,-80.5965912
"Jerrod","2021",3,"yes","171","greg",26.003413,-80.5966287
"Jerrod","2021",4,"yes","89","greg",26.0033312,-80.5967414
"Jerrod","2021",5,"no","1808","greg",26.0036661421182,-80.5964070253733
"Jerrod","2021",6,"yes","184","greg",26.0034043,-80.5966897
"Jerrod","2021",7,"no","1563","greg",26.0026401405179,-80.5964499541523
"Jerrod","2021",8,"yes","85","greg",26.0034046,-80.5968563
"Jerrod","2021",9,"yes","91","greg",26.003329,-80.5967376
"Jerrod","2021",10,"yes","165","greg",26.0033439,-80.5968827
"Jerrod","2021",11,"no","1232","greg",26.003333414548,-80.5966087442036
"Jerrod","2021",12,"no","110","greg",26.0028767639881,-80.5965267077188
"Jerrod","2021",13,"yes","79","greg",26.0036829,-80.5969929
"Jerrod","2021",14,"no","439","greg",26.0033674961033,-80.5967465984885
"Jerrod","2021",15,"no","238","greg",26.0035991363037,-80.5968503670744
"Jerrod","2021",16,"no","1461","greg",26.0038880043046,-80.5967121141032
"Jerrod","2021",17,"no","1094","greg",26.0038441534245,-80.5963734779832
"Jerrod","2021",18,"no","1217","greg",26.0040432718087,-80.5965026925806
"Jerrod","2021",19,"no","1648","whib",26.0043996474014,-80.5966509126089
"Jerrod","2021",20,"yes","194","greg",26.0036607,-80.596635
"Jerrod","2021",21,"yes","246","greg",26.0035968,-80.5968819
"Jerrod","2021",22,"no","867","greg",26.0033265471232,-80.5968684896043
"Jerrod","2021",23,"yes","81","greg",26.0036003,-80.5969241
"Jerrod","2021",24,"no","346","greg",26.0025072621604,-80.5964425429745
"Jerrod","2021",25,"no","120","greg",26.0025918148459,-80.596495377189
"Jerrod","2021",26,"no","1316","greg",26.0025898414099,-80.5963620782877
"Jerrod","2021",27,"no","372","greg",26.0032100229789,-80.5962768646387
"Jerrod","2021",28,"yes","192","greg",26.0036481,-80.5966237
"Jerrod","2021",29,"no","1879","greg",26.003838314796,-80.5970526005539
"Jerrod","2021",30,"no","606","greg",26.0031184744661,-80.5965933555898
"Jerrod","2021",31,"yes","87","greg",26.003365,-80.5968129
"Jerrod","2021",32,"yes","178","greg",26.0033384,-80.596859
"Jerrod","2021",33,"yes","500","gbhe",26.0037347,-80.5966279
"Jerrod","2021",34,"no","1235","greg",26.0031571433265,-80.5965783694202
"Jerrod","2021",35,"yes","185","greg",26.0037907,-80.5970397
"Jerrod","2021",36,"yes","180","greg",26.0032702,-80.5968528
"Jerrod","2021",37,"yes","181","greg",26.0038501,-80.5966327
"Jerrod","2021",38,"no","1440","greg",26.0033277944151,-80.5967496324764
"Jerrod","2021",39,"yes","103","greg",26.0039448,-80.5967794
"Jerrod","2021",40,"no","630","greg",26.0032581678512,-80.5964547123855
"Jerrod","2021",41,"yes","182","greg",26.0033288,-80.596766
"Jerrod","2021",42,"no","431","greg",26.0034135303545,-80.596684293716
"Jerrod","2021",43,"no","1948","greg",26.0038438127378,-80.5966391492732
"Jerrod","2021",44,"yes","183","greg",26.0038891,-80.59671
"Jerrod","2021",45,"yes","167","greg",26.003373,-80.596778
"Jerrod","2021",46,"no","1761","greg",26.0030756381942,-80.5966897477407
"Jerrod","2021",47,"yes","196","greg",26.0037628,-80.5965816
"Jerrod","2021",48,"no","930","whib",26.0032757392776,-80.5964628975811
"Jerrod","2021",49,"yes","176","gbhe",26.0034595,-80.5969665
