"site","year","sample_id","real_nest","field_nest_id","species","lat","long"
"Jerrod","2021",50,"no","1395","greg",26.0027099523191,-80.5961904636004
"6thBridge","2022",1,"yes","N18","greg",26.12046477,-80.5406095
"6thBridge","2022",2,"no","20165","greg",26.1220033749874,-80.5412306151957
"6thBridge","2022",3,"yes","N328","greg",26.12048075,-80.5404729
"6thBridge","2022",4,"no","18196","whib",26.1207957971183,-80.5398238181657
"6thBridge","2022",5,"no","25920","greg",26.1203047927917,-80.5414743739571
"6thBridge","2022",6,"yes","N14","greg",26.12053238,-80.5404944
"6thBridge","2022",7,"no","11937","greg",26.1241661313671,-80.5412745103225
"6thBridge","2022",8,"no","31490","greg",26.121399130615,-80.5415364576295
"6thBridge","2022",9,"yes","N44","greg",26.12048331,-80.5404375
"6thBridge","2022",10,"yes","N27","greg",26.12075304,-80.5401222
"6thBridge","2022",11,"yes","N8","greg",26.1205437,-80.5402355
"6thBridge","2022",12,"no","21614","greg",26.1218139648598,-80.5407277341241
"6thBridge","2022",13,"yes","N4","greg",26.12070641,-80.5400598
"6thBridge","2022",14,"yes","N12","greg",26.1204661,-80.5403677
"6thBridge","2022",15,"yes","N43","greg",26.12043746,-80.5405329
"6thBridge","2022",16,"no","35303","whib",26.1203640094691,-80.5403855846072
"6thBridge","2022",17,"no","21286","rosp",26.1230122364422,-80.5408923696116
"6thBridge","2022",18,"no","31101","rosp",26.1214508847852,-80.5416973916176
"6thBridge","2022",19,"no","29127","whib",26.1193265170502,-80.5403116068337
"6thBridge","2022",20,"yes","N10","greg",26.12047665,-80.5403322
"Joule","2022",1,"no","600","greg",26.0126387805828,-80.6307604115134
"Joule","2022",2,"no","606","greg",26.012401901543,-80.6307215740557
"Joule","2022",3,"no","57","greg",26.0128807256914,-80.6311476176414
"Joule","2022",4,"yes","N422","greg",26.01255328,-80.6310735
"Joule","2022",5,"no","918","greg",26.0122069603497,-80.6312098751027
"Joule","2022",6,"yes","N908","greg",26.01251651,-80.6311085
"Joule","2022",7,"no","581","greg",26.0122806008581,-80.6308273775955
"Joule","2022",8,"no","566","greg",26.0132210360093,-80.63090315476
"Joule","2022",9,"no","56","greg",26.0127803654979,-80.6311728729393
"Joule","2022",10,"yes","N175","greg",26.01256995,-80.6307831
"Joule","2022",11,"yes","N418","greg",26.01273429,-80.630728
"Joule","2022",12,"no","266","greg",26.0116756822161,-80.6314157563458
"Joule","2022",13,"yes","N96","greg",26.01267855,-80.6309339
"Joule","2022",14,"yes","N51","greg",26.01227285,-80.6308363
"Joule","2022",15,"no","168","whib",26.01195823633,-80.6311632786395
"Joule","2022",16,"yes","N420","greg",26.01262063,-80.6310931
"Joule","2022",17,"yes","N414","greg",26.01262941,-80.6308583
"Joule","2022",18,"yes","N24","greg",26.0117245,-80.6304927
"Joule","2022",19,"no","479","greg",26.0120839695502,-80.631369360202
"Joule","2022",20,"yes","N65","greg",26.01187071,-80.6304214
"Joule","2022",21,"no","793","greg",26.012754755046,-80.6309464718082
"Joule","2022",22,"yes","N57","greg",26.01244893,-80.63107
"Joule","2022",23,"no","781","greg",26.0122385368339,-80.6311413887789
"Joule","2022",24,"yes","N177","greg",26.01273523,-80.63102
"Joule","2022",25,"no","71","greg",26.0126682180438,-80.63093044185
"Joule","2022",26,"no","947","greg",26.012433578335,-80.6311196479879
"Joule","2022",27,"yes","N47","greg",26.01222184,-80.6305779
"Joule","2022",28,"no","269","greg",26.0128889770879,-80.6313972030298
"Joule","2022",29,"yes","N53","greg",26.01234995,-80.6308601
"Joule","2022",30,"yes","N63","greg",26.01176655,-80.6305473
"Joule","2022",31,"no","686","greg",26.012342911337,-80.6315157567212
"Joule","2022",32,"no","68","greg",26.0132306802745,-80.6309176722679
"Joule","2022",33,"yes","N902","greg",26.01246911,-80.6307886
"Joule","2022",34,"no","577","greg",26.0123532157966,-80.6308540975483
"Joule","2022",35,"yes","N61","greg",26.01184776,-80.6305539
"Joule","2022",36,"yes","N94","greg",26.01253063,-80.6308218
"Joule","2022",37,"no","971","greg",26.0116885211022,-80.6309578852299
"Joule","2022",38,"yes","N412","greg",26.01257609,-80.6308441
"Jerrod","2022",1,"yes","N543","greg",26.00349479,-80.596318
"Jerrod","2022",2,"no","1652","whib",26.0045709252514,-80.5967083914753
"Jerrod","2022",3,"yes","N163","greg",26.00366985,-80.596335
"Jerrod","2022",4,"no","13","greg",26.0040902963114,-80.5969535193949
"Jerrod","2022",5,"no","1565","greg",26.0033897902998,-80.5961897961317
"Jerrod","2022",6,"yes","N79","greg",26.00378571,-80.5964018
"Jerrod","2022",7,"no","965","greg",26.0027985238197,-80.5962795349612
"Jerrod","2022",8,"no","37","whib",26.0043125493115,-80.5968479387612
"Jerrod","2022",9,"no","1611","whib",26.004856764477,-80.5970705101741
"Jerrod","2022",10,"no","1168","greg",26.0025361359047,-80.5968110583287
"Jerrod","2022",11,"no","1532","greg",26.0035876844573,-80.596324837649
"Jerrod","2022",12,"no","521","whib",26.0033712892638,-80.5966900895174
"Jerrod","2022",13,"yes","N161","greg",26.00332044,-80.5963318
"Jerrod","2022",14,"yes","N167","greg",26.00376332,-80.5964025
"Jerrod","2022",15,"yes","N157","greg",26.00339306,-80.5964001
"Jerrod","2022",16,"no","431","gbhe",26.0048293650668,-80.5969027383895
"Jerrod","2022",17,"no","1683","greg",26.0041949578319,-80.5967876735721
"Jerrod","2022",18,"yes","N26","greg",26.0037663,-80.5967588
"Jerrod","2022",19,"yes","N173","greg",26.00403805,-80.5965534
"Jerrod","2022",20,"yes","N73","greg",26.00343633,-80.5964201
"Jerrod","2022",21,"yes","N297","greg",26.003564,-80.5963976
"Jerrod","2022",22,"yes","N102","greg",26.00327774,-80.596282
"Jerrod","2022",23,"no","80","whib",26.0045142361047,-80.596716650495
"Jerrod","2022",24,"yes","N67","gbhe",26.00400672,-80.5968102
"Jerrod","2022",25,"no","1377","gbhe",26.0033806989637,-80.5963472717484
"Jerrod","2022",26,"yes","N159","greg",26.00331147,-80.5963451
"Jerrod","2022",27,"yes","N293","greg",26.00334843,-80.5963028
"Jerrod","2022",28,"no","739","greg",26.0035878831648,-80.596892212047
"StartMel","2022",1,"yes","N191","greg",25.94784058,-80.6385968
"StartMel","2022",2,"yes","N85","greg",25.94789547,-80.638325
"StartMel","2022",3,"no","459","whib",25.9481596918289,-80.6385425412077
"StartMel","2022",4,"no","372","greg",25.9478999488797,-80.6387621444285
"StartMel","2022",5,"no","586","greg",25.9488532861016,-80.6385431141033
"StartMel","2022",6,"yes","N183","greg",25.94817939,-80.6385511
"StartMel","2022",7,"no","68","greg",25.9482063439746,-80.6384267740609
"StartMel","2022",8,"no","18","greg",25.9486104703331,-80.6382287706087
"StartMel","2022",9,"yes","N309","greg",25.94790216,-80.6386769
"StartMel","2022",10,"no","402","greg",25.9486111054135,-80.6382304239586
"StartMel","2022",11,"no","260","greg",25.9478312237731,-80.6386594754233
"StartMel","2022",12,"no","364","rosp",25.9478953468879,-80.6383258915436
"StartMel","2022",13,"yes","N379","greg",25.94833547,-80.6385782
"StartMel","2022",14,"yes","N185","greg",25.94801418,-80.638492
"StartMel","2022",15,"no","481","greg",25.9478906186169,-80.6383766400373
"StartMel","2022",16,"no","100","rosp",25.9478415802008,-80.6381327499006
"StartMel","2022",17,"yes","N42","greg",25.94789419,-80.6382595
"StartMel","2022",18,"no","273","greg",25.9475624146664,-80.6384585243109
"StartMel","2022",19,"yes","N307","greg",25.94801069,-80.638576
"StartMel","2022",20,"yes","N187","greg",25.94794789,-80.638651
"StartMel","2022",21,"no","588","greg",25.9483340823127,-80.6385791145823
"StartMel","2022",22,"no","82","greg",25.9479271868335,-80.6382596817042
"StartMel","2022",23,"yes","N193","greg",25.94793174,-80.638261
"StartMel","2022",24,"yes","N189","greg",25.94795278,-80.6386739
"StartMel","2022",25,"yes","N305","greg",25.94801881,-80.6386338
"StartMel","2022",26,"no","336","whib",25.9482714134027,-80.6395134026835
"StartMel","2022",27,"yes","N195","greg",25.94801518,-80.6382484
"StartMel","2022",28,"yes","N303","greg",25.94804712,-80.6385925
"StartMel","2022",29,"no","508","greg",25.9485498836374,-80.6382500383883
"StartMel","2022",30,"no","559","rosp",25.9482063331919,-80.6384283133979
"StartMel","2022",31,"yes","N106","greg",25.94825309,-80.6385111
"StartMel","2022",32,"yes","N36","greg",25.94780058,-80.6385304
"Vacation","2022",1,"yes","N70","greg",25.91427349,-80.6304539
"Vacation","2022",2,"no","2627","greg",25.9146706701362,-80.6301646366574
"Vacation","2022",3,"no","2774","greg",25.9138657973557,-80.6304211223492
"Vacation","2022",4,"no","458","greg",25.9135994059551,-80.6301849231168
"Vacation","2022",5,"no","2362","greg",25.9140287317817,-80.6304009735581
"Vacation","2022",6,"no","535","greg",25.9144121454,-80.6303898688403
"Vacation","2022",7,"yes","N78","greg",25.91398506,-80.6302582
"Vacation","2022",8,"yes","N319","greg",25.91404367,-80.6300362
"Vacation","2022",9,"no","626","greg",25.9142562835747,-80.6306108178748
"Vacation","2022",10,"yes","N436","greg",25.91394136,-80.630161
"Vacation","2022",11,"yes","N143","greg",25.91451378,-80.6300019
"Vacation","2022",12,"no","1167","greg",25.9143287101453,-80.6300424762928
"Vacation","2022",13,"no","2996","greg",25.9146016769324,-80.630231537363
"Vacation","2022",14,"yes","N68","greg",25.91438242,-80.630273
"Vacation","2022",15,"yes","N84","greg",25.91406468,-80.6299847
"Vacation","2022",16,"yes","N98","greg",25.91416187,-80.6299472
"Vacation","2022",17,"no","2951","greg",25.9138498275823,-80.63053413409
"Vacation","2022",18,"yes","N100","greg",25.91461211,-80.6299017
"Vacation","2022",19,"no","2323","greg",25.9140456297853,-80.6306325314134
"Vacation","2022",20,"yes","N430","greg",25.91417716,-80.6305173
"Vacation","2022",21,"yes","N76","greg",25.91403711,-80.6301942
"Vacation","2022",22,"yes","N147","greg",25.91469554,-80.6300468
"Vacation","2022",23,"yes","N62","greg",25.91435753,-80.6302172
"Vacation","2022",24,"no","269","greg",25.9139143958835,-80.6303895003324
"Vacation","2022",25,"no","2275","rosp",25.9134831597276,-80.6301043722048
"Vacation","2022",26,"yes","N141","greg",25.91447051,-80.6299709
"Vacation","2022",27,"yes","N82","greg",25.91438512,-80.6298442
"Vacation","2022",28,"yes","N64","greg",25.9144783,-80.6300213
"Vacation","2022",29,"no","1063","whib",25.9136595149618,-80.6304400543112
"Vacation","2022",30,"yes","N199","greg",25.9145843,-80.6301016
"Vacation","2022",31,"yes","N196","greg",25.9146453,-80.6300842
"Vacation","2022",32,"yes","N201","greg",25.91416895,-80.6303674
"Vacation","2022",33,"yes","N440","greg",25.91405116,-80.6301025
"Vacation","2022",34,"no","2082","greg",25.91393865139,-80.6296045986645
"Vacation","2022",35,"no","2145","whib",25.9143889631994,-80.6305286433335
"Vacation","2022",36,"no","480","greg",25.9134882507405,-80.6300996391711
"Vacation","2022",37,"yes","N137","greg",25.91407525,-80.6302292
"Vacation","2022",38,"no","1184","whib",25.9136252711679,-80.6300812939619
"Vacation","2022",39,"yes","N442","greg",25.91492741,-80.6299048
"Vacation","2022",40,"no","2875","greg",25.9144585867596,-80.6299428497968
"Vacation","2022",41,"yes","N207","greg",25.91424419,-80.6299319
"Vacation","2022",42,"no","569","greg",25.9134642321298,-80.6302023805346
"Vacation","2022",43,"no","1220","gbhe",25.9147290981723,-80.630646176822
"Vacation","2022",44,"no","286","greg",25.9143332511115,-80.6303178839763
"Vacation","2022",45,"no","2575","greg",25.9138690839993,-80.6304186254766
"Vacation","2022",46,"no","1086","greg",25.9144016942357,-80.63032196444
"Vacation","2022",47,"no","2174","greg",25.9149259604824,-80.6302954443284
"Vacation","2022",48,"yes","N428","greg",25.91424101,-80.6305071
"Vacation","2022",49,"yes","N197","greg",25.91477273,-80.6301874
"Vacation","2022",50,"no","2831","greg",25.9137922878877,-80.6301277378885
"Vacation","2022",51,"no","1835","whib",25.9152438724937,-80.630201819432
"Vacation","2022",52,"yes","N60","greg",25.91445119,-80.6301056
"Vacation","2022",53,"no","2766","greg",25.9141152038964,-80.6304165501625
"Vacation","2022",54,"yes","N74","greg",25.91416462,-80.6303486
"CypressCity","2022",1,"yes","N439","greg",26.12293991,-80.504158
"CypressCity","2022",2,"no","662","rosp",26.1238894968796,-80.5042492777156
"CypressCity","2022",3,"no","414","greg",26.1234605464672,-80.503834037054
"CypressCity","2022",4,"no","496","greg",26.1238383134568,-80.5040529724288
"CypressCity","2022",5,"no","1155","greg",26.1231521551364,-80.5040427167317
"CypressCity","2022",6,"yes","N373","greg",26.12414924,-80.504174
"CypressCity","2022",7,"no","1597","greg",26.1240777267092,-80.5039234500541
"CypressCity","2022",8,"yes","N232","greg",26.12283877,-80.5040991
"CypressCity","2022",9,"yes","N441","greg",26.12302129,-80.5037949
"CypressCity","2022",10,"no","1127","greg",26.123388388847,-80.5042408792183
"CypressCity","2022",11,"yes","N266","greg",26.12394988,-80.5039145
"CypressCity","2022",12,"yes","N371","greg",26.12421894,-80.5041589
"CypressCity","2022",13,"no","996","whib",26.1230491232414,-80.5041197717483
"CypressCity","2022",14,"no","147","greg",26.1242034853256,-80.5039475932561
"CypressCity","2022",15,"yes","N268","greg",26.12397286,-80.5039905
"CypressCity","2022",16,"yes","N270","greg",26.12408988,-80.5043899
