"site","year","sample_id","known_nest","nest_id","species","lat","long","num_obs"
"Jerrod","2022",48,"yes",227,"Great Egret",26.0030289034421,-80.5963154107423,10
"Jerrod","2022",49,"no",160,"White Ibis",26.0027016248769,-80.5965029341989,1
"Jerrod","2022",50,"yes",134,"Great Egret",26.0044712240662,-80.5965244375632,2
"Jupiter","2022",1,"yes",814,"Great Egret",26.0142313204961,-80.5622187764372,2
"Jupiter","2022",2,"no",619,"Great Egret",26.0139590851661,-80.5627651869275,1
"Jupiter","2022",3,"no",275,"Great Egret",26.0141328244478,-80.5620828277849,1
"Jupiter","2022",4,"yes",78,"Great Egret",26.0154089521066,-80.5625862555208,2
"Jupiter","2022",5,"no",613,"Great Egret",26.0145364297916,-80.5626906211127,1
"Jupiter","2022",6,"no",796,"Great Egret",26.0132358556412,-80.5623561073131,1
"Jupiter","2022",7,"no",579,"Great Egret",26.0145271181023,-80.5628411987206,1
"Jupiter","2022",8,"yes",177,"Great Blue Heron",26.0142190704344,-80.5622892449025,2
"Jupiter","2022",9,"no",965,"White Ibis",26.0153030883225,-80.5626319698015,1
"Jupiter","2022",10,"no",700,"Great Egret",26.0153185711116,-80.5624297570248,1
"Jupiter","2022",11,"yes",217,"Great Egret",26.0133263935119,-80.5623129461081,2
"Jupiter","2022",12,"no",71,"Great Egret",26.0155512298718,-80.5626644188345,1
"Jupiter","2022",13,"no",170,"Great Egret",26.0148054424891,-80.5623141513197,1
"Jupiter","2022",14,"yes",127,"Great Egret",26.0154061072899,-80.5624714631611,3
"Jupiter","2022",15,"yes",235,"Great Egret",26.0153577425885,-80.5621776689031,2
"Jupiter","2022",16,"yes",645,"Great Egret",26.0154294152677,-80.5626024192201,2
"Jupiter","2022",17,"yes",793,"Great Egret",26.0132456796683,-80.5623440523911,2
"Jupiter","2022",18,"yes",234,"Great Egret",26.0153577273666,-80.5622153707217,3
"Jupiter","2022",19,"no",935,"White Ibis",26.0137538969691,-80.5628019990241,1
"Jupiter","2022",20,"yes",299,"Great Egret",26.0145196607183,-80.5619575912606,2
"AlleyNorth","2021",1,"no",3418,"White Ibis",26.1988003581932,-80.5285601320565,1
"AlleyNorth","2021",2,"no",10881,"White Ibis",26.1953530708608,-80.5267455457874,1
"AlleyNorth","2021",3,"no",31219,"White Ibis",26.1956197637334,-80.5273688287793,1
"AlleyNorth","2021",4,"yes",6940,"White Ibis",26.1961893043417,-80.5279991091849,2
"AlleyNorth","2021",5,"yes",7987,"Great Egret",26.1959323766576,-80.5276497227244,3
"AlleyNorth","2021",6,"yes",7803,"White Ibis",26.1980506757201,-80.5275598934031,2
"AlleyNorth","2021",7,"yes",12525,"Great Egret",26.1958564031124,-80.5254432835471,2
"AlleyNorth","2021",8,"yes",8243,"Great Egret",26.1980243919514,-80.5275377256199,2
"AlleyNorth","2021",9,"yes",2636,"White Ibis",26.1965172843925,-80.5288987059296,4
"AlleyNorth","2021",10,"no",14875,"White Ibis",26.1895185340133,-80.5268969345519,1
"AlleyNorth","2021",11,"no",13546,"White Ibis",26.1926800454838,-80.5278768494365,1
"AlleyNorth","2021",12,"yes",3045,"White Ibis",26.1974785927855,-80.5287666507528,2
"AlleyNorth","2021",13,"no",20622,"Great Egret",26.1851423551121,-80.522155519166,1
"AlleyNorth","2021",14,"yes",9405,"Great Egret",26.1995114995448,-80.5269225170067,2
"AlleyNorth","2021",15,"no",19041,"Great Egret",26.1883760795381,-80.5241143441941,1
"AlleyNorth","2021",16,"yes",8778,"White Ibis",26.1973115468291,-80.527247404903,2
"AlleyNorth","2021",17,"no",33579,"Great Egret",26.1860021003021,-80.5249397785015,1
"AlleyNorth","2021",18,"yes",4023,"White Ibis",26.1989455547397,-80.5284600944399,2
"AlleyNorth","2021",19,"yes",5445,"White Ibis",26.1960875765138,-80.5283174968297,2
"AlleyNorth","2021",20,"yes",7566,"Great Egret",26.19580072709,-80.5277457527911,2
"AlleyNorth","2021",21,"no",14414,"Great Egret",26.1879704599832,-80.5273900246707,1
"AlleyNorth","2021",22,"no",1157,"White Ibis",26.1975227117635,-80.5292106663721,1
"AlleyNorth","2021",23,"yes",7301,"White Ibis",26.1976384375338,-80.527797767718,2
"AlleyNorth","2021",24,"yes",170,"White Ibis",26.1962304516926,-80.5294764736988,2
"AlleyNorth","2021",25,"no",6566,"White Ibis",26.1984089131509,-80.5279618963045,1
"AlleyNorth","2021",26,"no",19124,"White Ibis",26.1913479813788,-80.5240063701932,1
"AlleyNorth","2021",27,"no",29108,"White Ibis",26.1968711108378,-80.5286624632979,1
"AlleyNorth","2021",28,"no",19609,"White Ibis",26.1875639597637,-80.5235879488476,1
"AlleyNorth","2021",29,"no",30650,"White Ibis",26.1951215559071,-80.5276998542956,1
"AlleyNorth","2021",30,"no",12028,"White Ibis",26.195659735005,-80.5260475196146,1
"AlleyNorth","2021",31,"no",7504,"White Ibis",26.1966958406014,-80.5278516133056,1
"AlleyNorth","2021",32,"yes",783,"White Ibis",26.1963814221972,-80.5294373934114,2
"AlleyNorth","2021",33,"yes",3245,"White Ibis",26.1961936850435,-80.5286629356285,2
"AlleyNorth","2021",34,"yes",11207,"White Ibis",26.1954604890459,-80.526611538098,2
"AlleyNorth","2021",35,"no",23391,"Great Egret",26.1952279531726,-80.5284030302248,1
"AlleyNorth","2021",36,"no",101,"White Ibis",26.1966308511273,-80.5294980439166,1
"AlleyNorth","2021",37,"yes",7710,"Great Egret",26.1990737576712,-80.5276398635477,2
"AlleyNorth","2021",38,"no",30517,"White Ibis",26.196299702603,-80.5276995990171,1
"AlleyNorth","2021",39,"no",21296,"Great Egret",26.1963840299934,-80.5294922197866,1
"AlleyNorth","2021",40,"yes",11545,"Great Egret",26.1953903602839,-80.5263772762025,2
"AlleyNorth","2021",41,"yes",3670,"White Ibis",26.1973352088079,-80.5285114322288,2
"AlleyNorth","2021",42,"yes",12028,"White Ibis",26.1956628440612,-80.5260580979912,3
"AlleyNorth","2021",43,"yes",9505,"White Ibis",26.1985307311652,-80.526956751848,2
"AlleyNorth","2021",44,"yes",2193,"White Ibis",26.1959201098443,-80.5289992704267,2
"AlleyNorth","2021",45,"no",12096,"White Ibis",26.1974427966367,-80.5258582144127,1
"AlleyNorth","2021",46,"no",20940,"Great Egret",26.1878195776481,-80.5216347287778,1
"AlleyNorth","2021",47,"yes",435,"White Ibis",26.19705741008,-80.5293747704459,2
"AlleyNorth","2021",48,"yes",5015,"White Ibis",26.1979716745192,-80.5282771110992,2
"AlleyNorth","2021",49,"no",7141,"White Ibis",26.1988867359996,-80.5278323795004,1
"AlleyNorth","2021",50,"no",17533,"White Ibis",26.1897834191855,-80.5249289184912,1
"Jerrod","2020",1,"yes",305,"Great Egret",26.0027311263061,-80.5966727936981,2
"Jerrod","2020",2,"no",1291,"Great Egret",26.0045251842368,-80.5965808614942,1
"Jerrod","2020",3,"no",776,"Great Blue Heron",26.0038251785376,-80.5967564180475,1
"Jerrod","2020",4,"yes",75,"Great Egret",26.00272439444,-80.5966774909504,6
"Jerrod","2020",5,"yes",29,"Great Egret",26.0027689956094,-80.5968235443808,8
"Jerrod","2020",6,"yes",270,"Great Egret",26.0026305169231,-80.5967873213341,3
"Jerrod","2020",7,"no",1305,"Great Egret",26.0036586423405,-80.5965218208202,1
"Jerrod","2020",8,"yes",15,"Great Egret",26.0035878600909,-80.5968922981901,2
"Jerrod","2020",9,"no",1146,"Great Egret",26.0040467221938,-80.596509272546,1
"Jerrod","2020",10,"yes",70,"Great Egret",26.003037629809,-80.5967781294363,7
"Jerrod","2020",11,"yes",82,"Great Egret",26.0043340099048,-80.5965030359235,2
"Jerrod","2020",12,"yes",9,"Great Blue Heron",26.0040007890233,-80.5969152102797,7
"Jerrod","2020",13,"yes",625,"Great Egret",26.0043041686739,-80.5965275297616,2
"Jerrod","2020",14,"no",1527,"Great Egret",26.00297029628,-80.5963539072179,1
"Jerrod","2020",15,"yes",363,"Great Egret",26.0030711846822,-80.5964163564958,3
"Jerrod","2020",16,"yes",190,"Great Egret",26.0032073572845,-80.5961567477588,6
"Jerrod","2020",17,"no",615,"Great Blue Heron",26.0028733020209,-80.59664174862,1
"Jerrod","2020",18,"no",1436,"Great Egret",26.0035772762584,-80.5967504057131,1
"Jerrod","2020",19,"no",1263,"Great Egret",26.0037787672203,-80.5966807213772,1
"Jerrod","2020",20,"no",197,"Great Egret",26.0030041334366,-80.5961667207085,1
"Jerrod","2020",21,"yes",128,"Great Egret",26.0027376940039,-80.5966021446883,5
"Jerrod","2020",22,"no",1238,"Great Blue Heron",26.0036974457082,-80.5969130779635,1
"Jerrod","2020",23,"yes",1069,"Great Egret",26.0031919172041,-80.5963714354257,2
"Jerrod","2020",24,"no",1128,"Great Egret",26.0033635156762,-80.5966674926446,1
"Jerrod","2020",25,"yes",35,"Great Blue Heron",26.0047604978161,-80.5966904726323,5
"Jerrod","2020",26,"no",1418,"Great Egret",26.0028318764625,-80.5967728402212,1
"Jerrod","2020",27,"yes",179,"Great Egret",26.0027671100301,-80.596315760442,9
"Jerrod","2020",28,"no",730,"Great Egret",26.0029359173465,-80.5960823654475,1
"Jerrod","2020",29,"yes",69,"Great Egret",26.0030130693065,-80.5967755133803,6
"Jerrod","2020",30,"no",1185,"Great Egret",26.003705115732,-80.5963928403199,1
"Jerrod","2020",31,"yes",154,"Great Egret",26.003566388466,-80.5963556394108,4
"Jerrod","2020",32,"no",1295,"Great Egret",26.00420136086,-80.5965082860427,1
"Jerrod","2020",33,"no",1288,"Great Egret",26.0027374284635,-80.5966195883256,1
"Jerrod","2020",34,"no",653,"Roseate Spoonbill",26.0032167853543,-80.596473651768,1
"Jerrod","2020",35,"yes",40,"Great Blue Heron",26.0042797671405,-80.5967626376592,6
"Jerrod","2020",36,"no",340,"Great Egret",26.0026927098257,-80.5964586484111,1
"Jerrod","2020",37,"yes",282,"Wood Stork",26.0037301676837,-80.5965987461897,2
"Jerrod","2020",38,"no",1390,"Great Egret",26.0039399033337,-80.596770666418,1
"Jerrod","2020",39,"no",672,"Great Egret",26.0025921556356,-80.596501751278,1
"Jerrod","2020",40,"yes",180,"Great Egret",26.0026793216514,-80.5964736789542,5
"Jerrod","2020",41,"no",1353,"Great Egret",26.0028129709687,-80.5964471180331,1
"Jerrod","2020",42,"yes",88,"Great Egret",26.0040826814059,-80.5964989740646,5
"Jerrod","2020",43,"yes",221,"Great Egret",26.002926495409,-80.5960699351267,5
"Jerrod","2020",44,"no",121,"Great Egret",26.0028883487883,-80.5965950984484,1
"Jerrod","2020",45,"yes",59,"Great Egret",26.0032468890736,-80.5966774979519,6
"Jerrod","2020",46,"yes",50,"Great Egret",26.003426593725,-80.5966452177521,3
"Jerrod","2020",47,"no",503,"Great Egret",26.0034005486705,-80.5964418432678,1
"Jerrod","2020",48,"no",1175,"Great Egret",26.0042925588321,-80.5964515833429,1
"Jerrod","2020",49,"yes",380,"Great Egret",26.0030148680778,-80.5960387505836,6
"Jerrod","2020",50,"no",1491,"Great Egret",26.0028690822216,-80.5965286898551,1
"Jerrod","2021",1,"no",475,"Great Egret",26.003398843663,-80.5964364473564,1
"Jerrod","2021",2,"yes",102,"Great Egret",26.0032178180076,-80.5964589518404,2
"Jerrod","2021",3,"yes",1102,"Great Egret",26.0033026296266,-80.5963365818786,4
"Jerrod","2021",4,"no",1830,"Great Egret",26.0030512945955,-80.5964897851866,1
"Jerrod","2021",5,"yes",238,"Great Blue Heron",26.0034650336211,-80.596943878956,3
"Jerrod","2021",6,"no",980,"White Ibis",26.0050618928632,-80.5969916465584,1
"Jerrod","2021",7,"yes",213,"Great Egret",26.0029524766484,-80.5960776277394,2
"Jerrod","2021",8,"yes",718,"Great Egret",26.0034120231857,-80.5966968892977,3
"Jerrod","2021",9,"no",1301,"Great Egret",26.0029971192717,-80.5963604461527,1
"Jerrod","2021",10,"yes",50,"Great Egret",26.0044205760577,-80.5966393644866,4
"Jerrod","2021",11,"no",367,"Great Egret",26.0027916620466,-80.5963487714682,1
"Jerrod","2021",12,"no",1322,"White Ibis",26.0025023731567,-80.5964383136766,1
"Jerrod","2021",13,"yes",329,"Great Egret",26.0032748003111,-80.5964640008352,2
"Jerrod","2021",14,"yes",112,"Roseate Spoonbill",26.0028410145296,-80.5964565373473,3
"Jerrod","2021",15,"no",734,"Great Egret",26.0026079964524,-80.5967599055889,1
"Jerrod","2021",16,"yes",1,"Great Egret",26.0037907340262,-80.5970362555854,7
"Jerrod","2021",17,"yes",530,"Great Egret",26.0043256206877,-80.5968369038381,7
"Jerrod","2021",18,"no",548,"Great Egret",26.0027517140824,-80.5968197550991,1
"Jerrod","2021",19,"yes",1547,"Great Egret",26.0032350725375,-80.5964168381886,2
"Jerrod","2021",20,"yes",97,"Great Egret",26.0037632135574,-80.5965815032013,2
"Jerrod","2021",21,"no",219,"Great Egret",26.0028989549105,-80.5960707775132,1
"Jerrod","2021",22,"yes",235,"Great Egret",26.0036065049069,-80.5968533386882,2
"Jerrod","2021",23,"no",1786,"Great Egret",26.0033905184036,-80.5966334688822,1
"Jerrod","2021",24,"no",312,"Great Egret",26.0029061658871,-80.5965713401137,1
"Jerrod","2021",25,"no",542,"Great Egret",26.003402799548,-80.596831869013,1
"Jerrod","2021",26,"no",914,"Great Egret",26.0032652699293,-80.5966247583926,1
"Jerrod","2021",27,"no",53,"Great Egret",26.0044406530756,-80.596676270065,1
"Jerrod","2021",28,"yes",743,"Great Egret",26.0044375963569,-80.5966280611747,5
"Jerrod","2021",29,"no",127,"Great Egret",26.0041737466472,-80.5963846704258,1
"Jerrod","2021",30,"yes",411,"Great Egret",26.0033680246191,-80.5967486893595,4
"Jerrod","2021",31,"yes",139,"Great Egret",26.0037831307544,-80.5963563272153,2
"Jerrod","2021",32,"yes",671,"Great Blue Heron",26.0034553127408,-80.5969626349898,3
"Jerrod","2021",33,"yes",840,"Great Egret",26.0027510031127,-80.5961859128795,3
"Jerrod","2021",34,"no",989,"Great Egret",26.0036820931569,-80.5969942846393,1
"Jerrod","2021",35,"no",517,"White Ibis",26.005054267692,-80.5970293845446,1
"Jerrod","2021",36,"yes",9,"Great Egret",26.0035979036673,-80.5969246503229,7
"Jerrod","2021",37,"no",1364,"Great Egret",26.0028540395589,-80.5962213881553,1
"Jerrod","2021",38,"yes",845,"Great Egret",26.0029024369327,-80.5960439783944,5
"Jerrod","2021",39,"yes",25,"Great Egret",26.0037681997892,-80.5967270184293,2
"Jerrod","2021",40,"no",1982,"Great Egret",26.00308787124,-80.5966505626376,1
"Jerrod","2021",41,"no",1131,"White Ibis",26.001404617551,-80.5960506457445,1
"Jerrod","2021",42,"no",503,"Great Egret",26.0031169249947,-80.5961472504792,1
"Jerrod","2021",43,"no",1910,"Great Egret",26.0039422316749,-80.596780878567,1
"Jerrod","2021",44,"yes",643,"Great Egret",26.0033128483011,-80.5963456757785,2
"Jerrod","2021",45,"yes",35,"Great Egret",26.0033376606233,-80.5968583981016,8
"Jerrod","2021",46,"no",667,"White Ibis",26.0023494003103,-80.5956657973012,1
"Jerrod","2021",47,"yes",1478,"Great Egret",26.003324680927,-80.596729605438,2
"Jerrod","2021",48,"yes",8,"Great Blue Heron",26.0040595698735,-80.596902135046,5
"Jerrod","2021",49,"no",717,"Great Egret",26.0034881078259,-80.596747712252,1
"Jerrod","2021",50,"no",1617,"Great Egret",26.0035904685444,-80.5969335535115,1
"Horus","2022",1,"no",1040,"Wood Stork",25.9611764942284,-80.5719142703459,1
"Horus","2022",2,"yes",430,"Wood Stork",25.9607671344598,-80.5724026287115,2
"Horus","2022",3,"yes",178,"White Ibis",25.9596555776772,-80.5725955419428,2
"Horus","2022",4,"no",6,"White Ibis",25.9607419001489,-80.5727227966423,1
"Horus","2022",5,"yes",957,"Wood Stork",25.9604981616604,-80.5720289587588,2
"Horus","2022",6,"yes",183,"Great Egret",25.9597245046606,-80.5726103025055,2
"Horus","2022",7,"no",782,"Wood Stork",25.9607622481781,-80.5720660714433,1
"Horus","2022",8,"no",1414,"Great Egret",25.9597668276937,-80.5722944345635,1
"Horus","2022",9,"no",367,"White Ibis",25.9594574793628,-80.5725652519078,1
"Horus","2022",10,"yes",634,"Great Egret",25.9602351784237,-80.5722459829174,2
"Horus","2022",11,"no",225,"Great Egret",25.9609293809945,-80.5725558484088,1
"Horus","2022",12,"no",399,"Great Blue Heron",25.9580153628737,-80.5725101213133,1
"Horus","2022",13,"no",1797,"Great Egret",25.9573434946981,-80.5716858852969,1
"Horus","2022",14,"yes",822,"Great Egret",25.9602750681816,-80.5721137022514,2
"Horus","2022",15,"yes",431,"Great Egret",25.9607217203599,-80.5723507529399,2
"Horus","2022",16,"no",837,"Great Egret",25.9602185761206,-80.5721633964493,1
"Horus","2022",17,"yes",502,"Great Egret",25.9603271281307,-80.5724225741146,2
"Horus","2022",18,"yes",811,"Great Egret",25.9605087372025,-80.5720673802068,2
"Horus","2022",19,"yes",198,"Great Egret",25.9593672770069,-80.5725914161591,2
"Horus","2022",20,"no",1581,"Great Egret",25.9601443132713,-80.5720233185254,1
"Horus","2022",21,"no",587,"Wood Stork",25.9612940569847,-80.5722042477608,1
"Horus","2022",22,"yes",573,"Great Egret",25.9614124306248,-80.572219623406,2
"Horus","2022",23,"no",1702,"Great Egret",25.957923331106,-80.5718959007123,1
"Horus","2022",24,"yes",903,"Great Egret",25.9574409713697,-80.5721803034208,2
"Hidden","2021",1,"yes",1793,"White Ibis",25.7773997934115,-80.8397880932312,2
"Hidden","2021",2,"no",3918,"White Ibis",25.7791874342335,-80.8388656643231,1
"Hidden","2021",3,"yes",2907,"White Ibis",25.7784825720104,-80.8393592333912,2
"Hidden","2021",4,"yes",2782,"White Ibis",25.7789078643259,-80.8394214301264,2
"Hidden","2021",5,"no",917,"White Ibis",25.7776261965969,-80.8400680506161,1
"Hidden","2021",6,"no",3989,"White Ibis",25.7790801488997,-80.8388614639442,1
"Hidden","2021",7,"yes",1525,"White Ibis",25.7789819588077,-80.8396989150582,2
"Hidden","2021",8,"no",3391,"White Ibis",25.7795373718947,-80.8391387183672,1
"Hidden","2021",9,"no",6624,"White Ibis",25.7796215351015,-80.8389785881552,1
"Hidden","2021",10,"no",942,"White Ibis",25.7775737674684,-80.8400416625163,1
"Hidden","2021",11,"yes",2813,"White Ibis",25.7788517701087,-80.839429767217,2
"Hidden","2021",12,"yes",2980,"White Ibis",25.7795836372066,-80.8391968750644,2
"Hidden","2021",13,"no",2545,"White Ibis",25.7783239683058,-80.8395207242434,1
"Hidden","2021",14,"yes",1017,"White Ibis",25.7775379502815,-80.8400291819006,2
"Hidden","2021",15,"yes",2693,"White Ibis",25.7791996470052,-80.8393445542964,2
"Hidden","2021",16,"no",2827,"White Ibis",25.7789462888989,-80.8393393971052,1
"Hidden","2021",17,"yes",2919,"Great Egret",25.7784722805486,-80.8393298500446,2
"Hidden","2021",18,"yes",3068,"White Ibis",25.779400383391,-80.8392790414807,2
"Hidden","2021",19,"yes",3640,"White Ibis",25.7794239903987,-80.8390415697234,2
"Hidden","2021",20,"yes",3849,"Wood Stork",25.7789271997509,-80.8389386680888,2
