"site","year","sample_id","known_nest","nest_id","species","lat","long","num_obs"
"JetportSouth","2021",1,"no",8666,"White Ibis",25.8052403636954,-80.8491548621939,1
"JetportSouth","2021",2,"no",15084,"Great Egret",25.8049856410457,-80.8487220565079,1
"JetportSouth","2021",3,"yes",1295,"Wood Stork",25.8007492754423,-80.8489960771964,3
"JetportSouth","2021",4,"no",5155,"Great Egret",25.8052214078596,-80.8490923358037,1
"JetportSouth","2021",5,"yes",3787,"Great Egret",25.8016660781068,-80.8491416628723,4
"JetportSouth","2021",6,"yes",2399,"Great Egret",25.8006853325363,-80.8489234191603,4
"JetportSouth","2021",7,"yes",10283,"Wood Stork",25.8027924771115,-80.8481592961304,3
"JetportSouth","2021",8,"yes",1576,"Great Egret",25.8005414431343,-80.8487059203278,3
"JetportSouth","2021",9,"no",9892,"Great Egret",25.8016232798076,-80.8491139656714,1
"JetportSouth","2021",10,"yes",145,"Great Egret",25.8043480110519,-80.8492235078495,8
"JetportSouth","2021",11,"yes",7293,"Great Egret",25.8011092141719,-80.8496087425951,5
"JetportSouth","2021",12,"yes",223,"Great Egret",25.8048460991324,-80.8491303861472,9
"JetportSouth","2021",13,"no",4253,"White Ibis",25.8007718965982,-80.8487823380638,1
"JetportSouth","2021",14,"no",15278,"Wood Stork",25.801336317742,-80.8486244033901,1
"JetportSouth","2021",15,"no",8566,"Wood Stork",25.8051378988866,-80.8491794605392,1
"JetportSouth","2021",16,"no",8209,"Wood Stork",25.8026513994053,-80.847759814226,1
"JetportSouth","2021",17,"yes",10372,"Wood Stork",25.8025495145856,-80.8474538743345,3
"JetportSouth","2021",18,"no",7207,"Great Egret",25.802679871704,-80.847302769741,1
"JetportSouth","2021",19,"yes",2132,"Wood Stork",25.8013994065868,-80.8492653485868,5
"JetportSouth","2021",20,"no",5435,"White Ibis",25.8034067498124,-80.8486487196749,1
"JetportSouth","2021",21,"no",5128,"Great Egret",25.8040310726578,-80.8492263066098,1
"JetportSouth","2021",22,"yes",1775,"Great Egret",25.8017100573175,-80.8477930048654,6
"JetportSouth","2021",23,"yes",2994,"Wood Stork",25.8050917113909,-80.8493087429388,5
"JetportSouth","2021",24,"no",9722,"Great Egret",25.8012373101247,-80.849783120763,1
"JetportSouth","2021",25,"yes",434,"Great Egret",25.8048837273057,-80.8488311156457,11
"JetportSouth","2021",26,"yes",7411,"Great Egret",25.8049361336709,-80.8491725473697,5
"JetportSouth","2021",27,"yes",1095,"Great Egret",25.8042782612718,-80.8491871920819,4
"JetportSouth","2021",28,"no",2414,"Wood Stork",25.8005362155608,-80.8488889169023,1
"JetportSouth","2021",29,"yes",11716,"White Ibis",25.8016215775524,-80.8473126759292,2
"JetportSouth","2021",30,"no",6254,"Roseate Spoonbill",25.8052586954866,-80.8490298169266,1
"JetportSouth","2021",31,"no",7050,"Great Egret",25.8031028284603,-80.848274664658,1
"JetportSouth","2021",32,"no",8882,"Great Egret",25.8049058912673,-80.8489528317014,1
"JetportSouth","2021",33,"yes",2933,"Wood Stork",25.8025517502556,-80.8471691372174,3
"JetportSouth","2021",34,"no",6018,"White Ibis",25.8030753811831,-80.8496185803182,1
"JetportSouth","2021",35,"no",13371,"Great Egret",25.8024187425539,-80.8475127990784,1
"JetportSouth","2021",36,"no",1145,"Great Egret",25.8050078936829,-80.8490573804571,1
"JetportSouth","2021",37,"no",12522,"White Ibis",25.8011118565049,-80.8485688300303,1
"JetportSouth","2021",38,"yes",3228,"White Ibis",25.8002609586864,-80.8487179987713,2
"JetportSouth","2021",39,"no",8247,"Great Egret",25.801658484642,-80.8476487730337,1
"JetportSouth","2021",40,"yes",442,"Wood Stork",25.8047903434804,-80.8489170115197,3
"JetportSouth","2021",41,"yes",1484,"Wood Stork",25.802387641942,-80.8487488747691,8
"JetportSouth","2021",42,"yes",45,"Wood Stork",25.8042422605403,-80.8495110172703,9
"JetportSouth","2021",43,"no",16304,"Great Egret",25.8016176225285,-80.8476437174367,1
"JetportSouth","2021",44,"yes",4232,"Great Egret",25.8017293495199,-80.8487475010508,3
"JetportSouth","2021",45,"no",2458,"White Ibis",25.8020981931624,-80.8488445989923,1
"JetportSouth","2021",46,"yes",8779,"White Ibis",25.8026379991026,-80.8490471282941,2
"JetportSouth","2021",47,"no",15382,"White Ibis",25.8032067557401,-80.8483759124894,1
"JetportSouth","2021",48,"yes",1533,"White Ibis",25.8031579576099,-80.8486008413393,6
"JetportSouth","2021",49,"yes",1455,"Great Egret",25.8006013124943,-80.8488782846637,3
"JetportSouth","2021",50,"no",9865,"White Ibis",25.8042849058256,-80.8491269449866,1
"Jerrod","2022",1,"yes",333,"Great Egret",26.0034320638189,-80.5965251237235,2
"Jerrod","2022",2,"no",1021,"Great Egret",26.0045659342124,-80.596671823568,1
"Jerrod","2022",3,"yes",418,"Great Egret",26.0026105214408,-80.5962554115438,3
"Jerrod","2022",4,"yes",248,"Great Egret",26.0030237648503,-80.5960608431943,7
"Jerrod","2022",5,"yes",415,"Great Egret",26.0026683655925,-80.596201040112,5
"Jerrod","2022",6,"no",94,"White Ibis",26.0042791388534,-80.5967014920865,1
"Jerrod","2022",7,"no",1864,"Great Egret",26.0025224907929,-80.5966358105539,1
"Jerrod","2022",8,"no",456,"Great Egret",26.0032448011702,-80.5965391232705,1
"Jerrod","2022",9,"yes",694,"Great Egret",26.0026497322704,-80.5964539594011,2
"Jerrod","2022",10,"no",1036,"Great Egret",26.0025410001232,-80.5966385877851,1
"Jerrod","2022",11,"yes",157,"Great Egret",26.0027618204252,-80.5965344242288,9
"Jerrod","2022",12,"no",837,"Great Egret",26.0028869747956,-80.5964028836664,1
"Jerrod","2022",13,"yes",226,"Great Egret",26.0029765580161,-80.5963053368797,2
"Jerrod","2022",14,"yes",295,"Great Egret",26.0035966936953,-80.5966402954163,4
"Jerrod","2022",15,"no",1421,"White Ibis",26.0017537015304,-80.5959351121958,1
"Jerrod","2022",16,"no",549,"White Ibis",26.0026424270136,-80.5964660671798,1
"Jerrod","2022",17,"no",640,"Great Egret",26.0043609719247,-80.5965525062245,1
"Jerrod","2022",18,"no",1855,"Great Egret",26.00382267066,-80.5965453048202,1
"Jerrod","2022",19,"no",494,"Great Egret",26.0031218177377,-80.596247390549,1
"Jerrod","2022",20,"no",319,"Great Egret",26.0025156131535,-80.5966910753839,1
"Jerrod","2022",21,"no",1727,"White Ibis",26.004228647328,-80.596662280104,1
"Jerrod","2022",22,"yes",423,"Great Egret",26.0029030253859,-80.5960386154336,8
"Jerrod","2022",23,"yes",377,"Great Egret",26.0034376323022,-80.5964214328515,8
"Jerrod","2022",24,"yes",257,"Great Blue Heron",26.0035545364701,-80.5969218388978,4
"Jerrod","2022",25,"yes",395,"Great Egret",26.0033719353079,-80.5962537278303,2
"Jerrod","2022",26,"yes",634,"White Ibis",26.0046039695773,-80.5966279669213,2
"Jerrod","2022",27,"no",124,"White Ibis",26.00467405385,-80.5965608913802,1
"Jerrod","2022",28,"no",203,"Great Egret",26.0024941277519,-80.5964211087213,1
"Jerrod","2022",29,"no",1085,"Great Egret",26.0038099190391,-80.5963933395104,1
"Jerrod","2022",30,"no",1575,"White Ibis",26.0032656615543,-80.5961915849156,1
"Jerrod","2022",31,"yes",68,"White Ibis",26.0044828699869,-80.5966645099506,3
"Jerrod","2022",32,"yes",390,"Great Egret",26.0028478093563,-80.5964055907697,6
"Jerrod","2022",33,"yes",283,"Great Egret",26.0027410423482,-80.5967718264331,4
"Jerrod","2022",34,"no",958,"White Ibis",26.0032356072598,-80.5962344731798,1
"Jerrod","2022",35,"no",304,"Great Egret",26.0031618742116,-80.5966728866088,1
"Jerrod","2022",36,"yes",219,"Great Egret",26.0032812639525,-80.5962181684145,3
"Jerrod","2022",37,"no",1129,"Great Egret",26.0031261675568,-80.5962435494964,1
"Jerrod","2022",38,"no",1819,"Great Egret",26.0029128750144,-80.5961299466271,1
"Jerrod","2022",39,"no",1271,"Great Egret",26.0033303340036,-80.596883976091,1
"Jerrod","2022",40,"no",1106,"White Ibis",26.0030854314634,-80.5963388515182,1
"Jerrod","2022",41,"no",1619,"White Ibis",26.0048590903559,-80.5969301705872,1
"Jerrod","2022",42,"yes",164,"Great Egret",26.0026512153107,-80.5964914008484,4
"Jerrod","2022",43,"yes",165,"Great Egret",26.002640458142,-80.5964865854194,8
"Jerrod","2022",44,"yes",255,"Great Egret",26.0036615001806,-80.5969277764473,3
"Jerrod","2022",45,"yes",155,"Great Egret",26.002927047683,-80.5965579307964,3
"Jerrod","2022",46,"yes",297,"Great Egret",26.003394223808,-80.5965816165678,4
"Jerrod","2022",47,"yes",405,"Great Egret",26.0032689892245,-80.596278765563,6
